particle_id,vx,vy,vz,px,py,pz,q,nhits
4503668346847232,-0.0249338,-0.0145662,-11.263,-0.0552689,0.323272,-0.203492,-1,3
4503737066323968,-0.0249338,-0.0145662,-11.263,-0.948125,0.470892,2.01006,1,10
4503805785800704,-0.0249338,-0.0145662,-11.263,-0.886484,0.105749,0.683881,-1,10
4503874505277440,-0.0249338,-0.0145662,-11.263,0.257539,-0.676718,0.991616,1,11
4503943224754176,-0.0249338,-0.0145662,-11.263,16.4394,-15.5489,-39.8249,1,11
4504011944230912,-0.0249338,-0.0145662,-11.263,0.795277,-1.6852,-3.52089,1,11
4504080663707648,-0.0249338,-0.0145662,-11.263,-0.563433,0.30537,6.16712,-1,13
4504355541614592,-0.0249338,-0.0145662,-11.263,-0.501267,0.0498246,-0.213011,-1,10
4504424261091328,-0.0249338,-0.0145662,-11.263,-1.65212,0.453142,-0.533958,-1,11
4504492980568064,-0.0249338,-0.0145662,-11.263,0.0351603,0.13142,-0.207544,1,0
4504561700044800,-0.0249338,-0.0145662,-11.263,-0.249551,-0.434369,-0.189168,-1,9
4504630419521536,-0.0249338,-0.0145662,-11.263,-0.657957,0.258518,-5.33195,1,10
4504699138998272,-0.0249338,-0.0145662,-11.263,0.0795369,0.451322,-5.25235,1,10
4504767858475008,-0.0249338,-0.0145662,-11.263,-0.230791,0.827567,-5.75481,-1,9
4504905297428480,-0.0249338,-0.0145662,-11.263,0.114234,0.859776,-14.5695,-1,13
4505248894812160,-0.0249338,-0.0145662,-11.263,-0.991648,0.34066,-3.86789,-1,0
4505317614288896,-0.0249338,-0.0145662,-11.263,0.861441,3.16257,-6.16804,1,10
4505386333765632,-0.0249338,-0.0145662,-11.263,0.686157,1.74103,-3.14903,1,3
4505455053242368,-0.0249338,-0.0145662,-11.263,0.937594,0.646454,-1.96131,-1,9
4505523772719104,-0.0249338,-0.0145662,-11.263,0.104399,0.321294,-0.946753,1,11
4505661211672576,-0.0249338,-0.0145662,-11.263,1.86273,1.10933,-4.10677,1,9
4505729931149312,-0.0249338,-0.0145662,-11.263,2.67978,1.29403,-6.90452,1,11
4505798650626048,-0.0249338,-0.0145662,-11.263,-0.973984,-0.77995,-1.0367,1,3
4505867370102784,-0.0249338,-0.0145662,-11.263,-0.671545,-0.652121,-0.439373,-1,12
4505936089579520,-0.0249338,-0.0145662,-11.263,-2.0603,-1.02101,-0.177392,1,14
4506004809056256,-0.0249338,-0.0145662,-11.263,0.169753,-0.2095,-0.506134,-1,11
4506073528532992,-0.0249338,-0.0145662,-11.263,0.0749592,0.258644,-0.1962,1,12
4506348406439936,-0.0249338,-0.0145662,-11.263,-0.247784,-0.352508,-1.64363,-1,8
4506417125916672,-0.0249338,-0.0145662,-11.263,-1.5084,-2.71328,-4.48071,1,8
4506485845393408,-0.0249338,-0.0145662,-11.263,-0.259804,-0.0926568,0.113833,-1,9
4506554564870144,-0.0249338,-0.0145662,-11.263,0.327291,0.54501,0.362463,1,13
4506623284346880,-0.0249338,-0.0145662,-11.263,-0.225734,-0.449088,-0.0503048,-1,11
4506692003823616,-0.0249338,-0.0145662,-11.263,-0.239794,0.769538,-4.44831,-1,13
4506829442777088,-0.0249338,-0.0145662,-11.263,0.0856569,-0.682619,-1.682,-1,10
4506898162253824,-0.0249338,-0.0145662,-11.263,-0.420512,0.255502,-1.1288,1,12
4506966881730560,-0.0249338,-0.0145662,-11.263,-0.23351,0.0502865,0.683415,1,11
4507035601207296,-0.0249338,-0.0145662,-11.263,0.605914,-0.209601,3.34804,-1,11
4507173040160768,-0.0249338,-0.0145662,-11.263,-45.3007,-2.21528,459.528,1,9
4507241759637504,-0.0249338,-0.0145662,-11.263,-0.595461,-0.356073,0.531693,1,13
4507310479114240,-0.0249338,-0.0145662,-11.263,-0.69085,0.929709,1.08887,-1,11
4507379198590976,-0.0249338,-0.0145662,-11.263,-0.150397,0.34957,0.544543,-1,13
4507447918067712,-0.0249338,-0.0145662,-11.263,-0.741775,4.36366,-0.921999,1,10
4507516637544448,-0.0249338,-0.0145662,-11.263,-0.945493,1.90811,-0.52378,-1,10
4507585357021184,-0.0249338,-0.0145662,-11.263,-1.95716,8.23566,-1.72499,1,10
4507654076497920,-0.0249338,-0.0145662,-11.263,-0.0347851,0.978504,-0.135103,-1,11
4507722795974656,-0.0249338,-0.0145662,-11.263,-1.23622,5.88521,-1.88816,1,11
4507791515451392,-0.0249338,-0.0145662,-11.263,-1.2516,2.96312,-0.0805277,-1,14
4507860234928128,-0.0249338,-0.0145662,-11.263,0.224759,1.06688,-0.372318,1,11
4507928954404864,-0.0249338,-0.0145662,-11.263,0.197654,0.203914,0.37477,-1,10
4507997673881600,-0.0249338,-0.0145662,-11.263,-0.174996,0.610129,0.297019,1,15
4508066393358336,-0.0249338,-0.0145662,-11.263,3.98007,-1.96987,-1.68429,1,10
4508135112835072,-0.0249338,-0.0145662,-11.263,0.166237,-1.03176,-2.98633,-1,10
4508203832311808,-0.0249338,-0.0145662,-11.263,0.98832,-5.05053,-11.2315,1,10
4508272551788544,-0.0249338,-0.0145662,-11.263,0.02462,-0.931968,-2.38952,-1,12
4508341271265280,-0.0249338,-0.0145662,-11.263,-0.0818069,-0.718193,-1.77163,1,9
4508409990742016,-0.0249338,-0.0145662,-11.263,-0.439029,0.188916,-0.0999231,1,8
4508478710218752,-0.0249338,-0.0145662,-11.263,0.902076,0.683353,0.657254,-1,9
4508616149172224,-0.0249338,-0.0145662,-11.263,0.578993,1.17409,3.25346,1,10
4508684868648960,-0.0249338,-0.0145662,-11.263,-0.306685,0.467097,0.678345,-1,11
4508753588125696,-0.0249338,-0.0145662,-11.263,-0.281426,0.593895,-0.309893,1,13
4509028466032640,-0.0249338,-0.0145662,-11.263,1.11688,-1.52653,22.4205,1,0
